,_id,name,category_code,number_of_employees,founded_year,city,location,latitude,longitude,total_money_raised ($k)
58,"{""$oid"": ""52cdef7c4bab8bd675297dc5""}",GrandCentral,mobile,3.0,2006.0,Fremont,"{'type': 'Point', 'coordinates': [-121.932202, 37.465645]}",37.465645,-121.932202,4000.0
59,"{""$oid"": ""52cdef7c4bab8bd675297dcc""}",AllPeers,web,,2004.0,Oxford,"{'type': 'Point', 'coordinates': [-1.255824, 51.752276]}",51.752276,-1.255824,0.0
60,"{""$oid"": ""52cdef7c4bab8bd675297dca""}",Pownce,web,6.0,2007.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.397224, 37.762541]}",37.762541,-122.397224,0.0
61,"{""$oid"": ""52cdef7c4bab8bd675297dcd""}",CriticalMetrics,web,4.0,2007.0,NoCity,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}",37.269175,-119.306607,100.0
62,"{""$oid"": ""52cdef7c4bab8bd675297dce""}",ZenZui,mobile,,2007.0,Seattle,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",47.620716,-122.347533,0.0
63,"{""$oid"": ""52cdef7c4bab8bd675297dcb""}",Revision3,games_video,,2005.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.388243, 37.757758]}",37.757758,-122.388243,9000.0
64,"{""$oid"": ""52cdef7c4bab8bd675297dd1""}",SodaHead,web,25.0,2007.0,Encino,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}",37.269175,-119.306607,12700.0
65,"{""$oid"": ""52cdef7c4bab8bd675297dc8""}",Topix,web,,2002.0,Palo Alto,"{'type': 'Point', 'coordinates': [-122.151198, 37.44296]}",37.44296,-122.151198,15000.0
66,"{""$oid"": ""52cdef7c4bab8bd675297dd2""}",CastTV,games_video,0.0,2006.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.393913, 37.780716]}",37.780716,-122.393913,3100.0
67,"{""$oid"": ""52cdef7c4bab8bd675297dd3""}",iSkoot,mobile,,2005.0,Cambridge,"{'type': 'Point', 'coordinates': [-71.118487, 42.375392]}",42.375392,-71.118487,32200.0
67,"{""$oid"": ""52cdef7c4bab8bd675297dd3""}",iSkoot,mobile,,2005.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.396744, 37.780134]}",37.780134,-122.396744,32200.0
68,"{""$oid"": ""52cdef7c4bab8bd675297dd4""}",EQO,mobile,0.0,2006.0,Vancouver,"{'type': 'Point', 'coordinates': [-123.138565, 49.263588]}",49.263588,-123.138565,12500.0
69,"{""$oid"": ""52cdef7c4bab8bd675297dd5""}",AllofMP3,games_video,,2000.0,Moscow,"{'type': 'Point', 'coordinates': [37.617633, 55.755786]}",55.755786,37.617633,0.0
70,"{""$oid"": ""52cdef7c4bab8bd675297dd6""}",There,games_video,,,San Mateo,"{'type': 'Point', 'coordinates': [-122.302149, 37.553385]}",37.553385,-122.302149,0.0
71,"{""$oid"": ""52cdef7c4bab8bd675297dd7""}",SellABand,games_video,,2006.0,46395 Bocholt,"{'type': 'Point', 'coordinates': [6.553452, 51.808933]}",51.808933,6.553452,5000.0
72,"{""$oid"": ""52cdef7c4bab8bd675297dd9""}",Steorn,web,,2000.0,Dublin,"{'type': 'Point', 'coordinates': [-6.229255, 53.354997]}",53.354997,-6.229255,0.0
73,"{""$oid"": ""52cdef7c4bab8bd675297da3""}",Yahoo!,web,13600.0,1994.0,Sunnyvale,"{'type': 'Point', 'coordinates': [-122.025485, 37.418531]}",37.418531,-122.025485,6800.0
74,"{""$oid"": ""52cdef7c4bab8bd675297dd0""}",Wize,ecommerce,,2006.0,Burlingame,"{'type': 'Point', 'coordinates': [-122.302262, 37.559287]}",37.559287,-122.302262,4990.0
75,"{""$oid"": ""52cdef7c4bab8bd675297dd8""}",Funny Or Die,games_video,,2007.0,San Mateo,"{'type': 'Point', 'coordinates': [-122.137444, 37.421621]}",37.421621,-122.137444,18000.0
76,"{""$oid"": ""52cdef7c4bab8bd675297dcf""}",Spock,search,30.0,2006.0,SCHUYLER LAKE,"{'type': 'Point', 'coordinates': [-122.217964, 37.488336]}",37.488336,-122.217964,7000.0
77,"{""$oid"": ""52cdef7c4bab8bd675297dc7""}",delicious,web,,2003.0,San Mateo,,Invalid lat long,Invalid lat long,0.0
78,"{""$oid"": ""52cdef7c4bab8bd675297dda""}",iContact,messaging,300.0,2003.0,Morrisville,,Invalid lat long,Invalid lat long,53400.0
79,"{""$oid"": ""52cdef7c4bab8bd675297ddb""}",MeeVee,games_video,,2000.0,Burlingame,"{'type': 'Point', 'coordinates': [-122.341715, 37.590339]}",37.590339,-122.341715,25000.0
